alpha_model-1602994931, 13.3478, 4, 0.65, 0.01718, 0.80556, 0.0111
alpha_model-1602994931, 13.5551, 4, 0.73, 0.01442, 0.88889, 0.00811
alpha_model-1602994931, 13.7761, 4, 0.69, 0.01741, 0.73611, 0.01305
alpha_model-1602994931, 13.9866, 4, 0.72, 0.01614, 0.81944, 0.01065
alpha_model-1602994931, 14.2048, 4, 0.7, 0.01542, 0.88889, 0.00752
alpha_model-1602994931, 14.4101, 4, 0.69, 0.01438, 0.84722, 0.00774
alpha_model-1602994931, 14.6197, 4, 0.73, 0.01506, 0.84722, 0.0072
alpha_model-1602994931, 14.8236, 4, 0.75, 0.01359, 0.84722, 0.00957
alpha_model-1602994931, 15.032, 4, 0.7, 0.01572, 0.81944, 0.01072
alpha_model-1602994931, 15.2461, 4, 0.73, 0.01593, 0.88889, 0.00744
alpha_model-1602994931, 15.4532, 4, 0.72, 0.01476, 0.73611, 0.01208
alpha_model-1602994931, 15.6609, 4, 0.78, 0.01294, 0.81944, 0.00963
alpha_model-1602994931, 15.8681, 4, 0.71, 0.01467, 0.84722, 0.00853
alpha_model-1602994931, 16.0792, 4, 0.77, 0.01424, 0.83333, 0.00993
alpha_model-1602994931, 16.2908, 4, 0.77, 0.01284, 0.91667, 0.00589
alpha_model-1602994931, 16.3491, 5, 0.69, 0.01669, 0.91667, 0.00546
alpha_model-1602994931, 16.5581, 5, 0.71, 0.0151, 0.90278, 0.00623
alpha_model-1602994931, 16.7648, 5, 0.8, 0.01102, 0.83333, 0.00873
alpha_model-1602994931, 16.9711, 5, 0.73, 0.01395, 0.86111, 0.00857
alpha_model-1602994931, 17.185, 5, 0.78, 0.0117, 0.83333, 0.00846
alpha_model-1602994931, 17.3932, 5, 0.73, 0.01401, 0.86111, 0.00808
alpha_model-1602994931, 17.5995, 5, 0.78, 0.01387, 0.86111, 0.00631
alpha_model-1602994931, 17.8055, 5, 0.76, 0.01338, 0.875, 0.00704
alpha_model-1602994931, 18.0112, 5, 0.87, 0.0079, 0.86111, 0.00777
alpha_model-1602994931, 18.2253, 5, 0.78, 0.01233, 0.97222, 0.00399
alpha_model-1602994931, 18.4307, 5, 0.76, 0.01355, 0.80556, 0.01029
alpha_model-1602994931, 18.6407, 5, 0.82, 0.01162, 0.875, 0.00751
alpha_model-1602994931, 18.8486, 5, 0.77, 0.01431, 0.80556, 0.00848
alpha_model-1602994931, 19.0583, 5, 0.78, 0.01166, 0.86111, 0.00769
alpha_model-1602994931, 19.2733, 5, 0.7, 0.01744, 0.93056, 0.00546
alpha_model-1602994931, 19.4819, 5, 0.77, 0.01341, 0.81944, 0.00828
alpha_model-1602994931, 19.5418, 6, 0.8, 0.01078, 0.86111, 0.00628
alpha_model-1602994931, 19.7499, 6, 0.77, 0.01329, 0.84722, 0.00859
alpha_model-1602994931, 19.9586, 6, 0.73, 0.01445, 0.91667, 0.00679
alpha_model-1602994931, 20.1804, 6, 0.73, 0.01614, 0.81944, 0.00982
alpha_model-1602994931, 20.391, 6, 0.74, 0.01314, 0.76389, 0.01119
alpha_model-1602994931, 20.6037, 6, 0.72, 0.01563, 0.84722, 0.00872
alpha_model-1602994931, 20.8084, 6, 0.73, 0.01393, 0.91667, 0.00501
alpha_model-1602994931, 21.0173, 6, 0.78, 0.01146, 0.91667, 0.00554
alpha_model-1602994931, 21.2304, 6, 0.69, 0.01717, 0.83333, 0.01013
alpha_model-1602994931, 21.4362, 6, 0.68, 0.01734, 0.93056, 0.00419
alpha_model-1602994931, 21.6454, 6, 0.71, 0.01557, 0.86111, 0.00779
alpha_model-1602994931, 21.8532, 6, 0.76, 0.01234, 0.81944, 0.00962
alpha_model-1602994931, 22.0606, 6, 0.79, 0.01053, 0.86111, 0.00771
alpha_model-1602994931, 22.2754, 6, 0.82, 0.0091, 0.94444, 0.00472
alpha_model-1602994931, 22.4811, 6, 0.79, 0.0125, 0.90278, 0.00666
alpha_model-1602994931, 22.6883, 6, 0.73, 0.01482, 0.81944, 0.00982
alpha_model-1602994931, 22.7477, 7, 0.74, 0.01387, 0.94444, 0.00295
alpha_model-1602994931, 22.9542, 7, 0.78, 0.01267, 0.90278, 0.00655
alpha_model-1602994931, 23.1623, 7, 0.79, 0.0136, 0.91667, 0.00401
alpha_model-1602994931, 23.3745, 7, 0.8, 0.01026, 0.84722, 0.00874
alpha_model-1602994931, 23.5862, 7, 0.81, 0.01056, 0.83333, 0.00807
alpha_model-1602994931, 23.7989, 7, 0.7, 0.01383, 0.91667, 0.00409
alpha_model-1602994931, 24.0066, 7, 0.78, 0.01155, 0.83333, 0.0084
alpha_model-1602994931, 24.2157, 7, 0.77, 0.01348, 0.875, 0.00599
alpha_model-1602994931, 24.4285, 7, 0.83, 0.00865, 0.91667, 0.00553
alpha_model-1602994931, 24.6392, 7, 0.69, 0.01722, 0.91667, 0.0053
alpha_model-1602994931, 24.8475, 7, 0.78, 0.01303, 0.90278, 0.00629
alpha_model-1602994931, 25.0675, 7, 0.82, 0.01089, 0.875, 0.00631
alpha_model-1602994931, 25.282, 7, 0.76, 0.01347, 0.875, 0.00672
alpha_model-1602994931, 25.4902, 7, 0.79, 0.01162, 0.93056, 0.00471
alpha_model-1602994931, 25.6964, 7, 0.8, 0.0118, 0.88889, 0.00648
alpha_model-1602994931, 25.9036, 7, 0.75, 0.01333, 0.90278, 0.00627
alpha_model-1602994931, 25.964, 8, 0.73, 0.01424, 0.91667, 0.00467
alpha_model-1602994931, 26.1723, 8, 0.81, 0.01122, 0.88889, 0.00613
alpha_model-1602994931, 26.3854, 8, 0.81, 0.01164, 0.91667, 0.00644
alpha_model-1602994931, 26.5955, 8, 0.81, 0.00966, 0.90278, 0.00594
alpha_model-1602994931, 26.8002, 8, 0.82, 0.01089, 0.91667, 0.00684
alpha_model-1602994931, 27.0032, 8, 0.75, 0.01267, 0.93056, 0.00336
alpha_model-1602994931, 27.2101, 8, 0.75, 0.01364, 0.93056, 0.0053
alpha_model-1602994931, 27.4231, 8, 0.83, 0.01111, 0.90278, 0.00567
alpha_model-1602994931, 27.6287, 8, 0.74, 0.01389, 0.90278, 0.00617
alpha_model-1602994931, 27.8404, 8, 0.82, 0.01052, 0.81944, 0.01102
alpha_model-1602994931, 28.0439, 8, 0.78, 0.01399, 0.90278, 0.00468
alpha_model-1602994931, 28.2485, 8, 0.84, 0.01033, 0.875, 0.00728
alpha_model-1602994931, 28.4557, 8, 0.72, 0.01462, 0.90278, 0.00563
alpha_model-1602994931, 28.6635, 8, 0.79, 0.01282, 0.88889, 0.00654
alpha_model-1602994931, 28.8676, 8, 0.71, 0.01619, 0.88889, 0.00532
alpha_model-1602994931, 29.0727, 8, 0.78, 0.01399, 0.94444, 0.00482
alpha_model-1602994931, 29.1319, 9, 0.88, 0.00798, 0.91667, 0.00454
alpha_model-1602994931, 29.3439, 9, 0.76, 0.01382, 0.94444, 0.00364
alpha_model-1602994931, 29.5512, 9, 0.88, 0.0071, 0.91667, 0.00545
alpha_model-1602994931, 29.7645, 9, 0.83, 0.0097, 0.875, 0.00611
alpha_model-1602994931, 29.9667, 9, 0.9, 0.00679, 0.86111, 0.0089
alpha_model-1602994931, 30.179, 9, 0.78, 0.01207, 0.91667, 0.0043
alpha_model-1602994931, 30.388, 9, 0.79, 0.01127, 0.91667, 0.00497
alpha_model-1602994931, 30.5986, 9, 0.76, 0.01317, 0.81944, 0.00956
alpha_model-1602994931, 30.8042, 9, 0.76, 0.01135, 0.88889, 0.00718
alpha_model-1602994931, 31.0107, 9, 0.73, 0.01464, 0.91667, 0.00598
alpha_model-1602994931, 31.219, 9, 0.76, 0.01224, 0.83333, 0.00721
alpha_model-1602994931, 31.4302, 9, 0.8, 0.01075, 0.93056, 0.00396
alpha_model-1602994931, 31.639, 9, 0.81, 0.00979, 0.86111, 0.00688
alpha_model-1602994931, 31.8442, 9, 0.78, 0.01225, 0.88889, 0.00566
alpha_model-1602994931, 32.0532, 9, 0.81, 0.01061, 0.94444, 0.0041
alpha_model-1602994931, 32.2627, 9, 0.8, 0.01085, 0.86111, 0.00618
alpha_model-1602994931, 32.3216, 10, 0.76, 0.0132, 0.91667, 0.00433
alpha_model-1602994931, 32.532, 10, 0.75, 0.01417, 0.91667, 0.00448
alpha_model-1602994931, 32.7394, 10, 0.82, 0.01017, 0.91667, 0.00539
alpha_model-1602994931, 32.947, 10, 0.76, 0.01364, 0.88889, 0.0067
alpha_model-1602994931, 33.155, 10, 0.77, 0.01194, 0.90278, 0.00539
alpha_model-1602994931, 33.3672, 10, 0.8, 0.01023, 0.94444, 0.00311
alpha_model-1602994931, 33.5726, 10, 0.74, 0.01496, 0.81944, 0.00819
alpha_model-1602994931, 33.7804, 10, 0.81, 0.01089, 0.91667, 0.00491
alpha_model-1602994931, 33.9874, 10, 0.77, 0.01486, 0.88889, 0.00513
alpha_model-1602994931, 34.1955, 10, 0.79, 0.01252, 0.90278, 0.00467
alpha_model-1602994931, 34.4079, 10, 0.8, 0.01068, 0.98611, 0.00179
alpha_model-1602994931, 34.617, 10, 0.82, 0.01029, 0.91667, 0.00407
alpha_model-1602994931, 34.8227, 10, 0.82, 0.01067, 0.94444, 0.00413
